cohort,model,metric,n,mean,sample_sd
main,pspnet_resnet18_pretrained,condition_blur_level_mae,3,0.17085408190710563,0.04486185399058429
main,segformer_b0_pretrained,overall_dice,3,0.7068320957797518,0.03785275353454335
main,segformer_b0_pretrained,overall_iou,3,0.5935156427209082,0.04321509593343504
main,segformer_b0_pretrained,small_dice,3,0.5452829755183135,0.16432285627854937
main,segformer_b0_pretrained,boundary_f1,3,0.2878274697490013,0.03185829160883572
main,segformer_b0_pretrained,level_mae,3,0.13834744924008174,0.03741855929046102
main,segformer_b0_pretrained,condition_clear_dice,3,0.7309582354535595,0.04832590038736286
main,segformer_b0_pretrained,condition_blur_dice,3,0.6934510766287072,0.08535074158138017
main,segformer_b0_pretrained,condition_small_dice,3,0.5452829755183135,0.16432285627854937
main,segformer_b0_pretrained,condition_blur_level_mae,3,0.09778676403134194,0.03555077259573329
main,unet_resnet18_pretrained,overall_dice,3,0.6845774148787801,0.042123153284319106
main,unet_resnet18_pretrained,overall_iou,3,0.5947612124626973,0.04118646667443462
main,unet_resnet18_pretrained,small_dice,3,0.45238896685993896,0.08131743407328354
main,unet_resnet18_pretrained,boundary_f1,3,0.29449640979423236,0.017612055226709333
main,unet_resnet18_pretrained,level_mae,3,0.11904919957546645,0.04037124991286581
main,unet_resnet18_pretrained,condition_clear_dice,3,0.7329501023464878,0.031947235898806305
main,unet_resnet18_pretrained,condition_blur_dice,3,0.6158408877325653,0.09396854141629442
main,unet_resnet18_pretrained,condition_small_dice,3,0.45238896685993896,0.08131743407328354
main,unet_resnet18_pretrained,condition_blur_level_mae,3,0.12966789084908784,0.028488507318576228
supplementary,concat_hc_global_conv_resnet18_pretrained,overall_dice,3,0.7598381887649821,0.012786378541142913
supplementary,concat_hc_global_conv_resnet18_pretrained,overall_iou,3,0.64416667992415,0.012429239535498245
supplementary,concat_hc_global_conv_resnet18_pretrained,small_dice,3,0.4725769934458791,0.10604341012893304
supplementary,concat_hc_global_conv_resnet18_pretrained,boundary_f1,3,0.28622975232248243,0.006793213758891341
supplementary,concat_hc_global_conv_resnet18_pretrained,level_mae,3,0.11241411179134098,0.01919456277110688
supplementary,concat_hc_global_conv_resnet18_pretrained,condition_clear_dice,3,0.8032498128814288,0.008373457301435403
supplementary,concat_hc_global_conv_resnet18_pretrained,condition_blur_dice,3,0.7341964230592115,0.0041017907597343485
supplementary,concat_hc_global_conv_resnet18_pretrained,condition_small_dice,3,0.4725769934458791,0.10604341012893304
supplementary,concat_hc_global_conv_resnet18_pretrained,condition_blur_level_mae,3,0.08049343632154542,0.017982134245403146
supplementary,localsk_hc_global_conv_resnet18_pretrained,overall_dice,3,0.7151355071052513,0.08702379922239366
supplementary,localsk_hc_global_conv_resnet18_pretrained,overall_iou,3,0.6005868866420937,0.08324762155089632
supplementary,localsk_hc_global_conv_resnet18_pretrained,small_dice,3,0.5037631960184116,0.1398155325484991
supplementary,localsk_hc_global_conv_resnet18_pretrained,boundary_f1,3,0.2677156739642734,0.037221055741990895
supplementary,localsk_hc_global_conv_resnet18_pretrained,level_mae,3,0.1246725101696024,0.032173486570798354
supplementary,localsk_hc_global_conv_resnet18_pretrained,condition_clear_dice,3,0.7355070466225373,0.10815398921639367
supplementary,localsk_hc_global_conv_resnet18_pretrained,condition_blur_dice,3,0.7380901375112946,0.01701899797890506
supplementary,localsk_hc_global_conv_resnet18_pretrained,condition_small_dice,3,0.5037631960184116,0.1398155325484991
supplementary,localsk_hc_global_conv_resnet18_pretrained,condition_blur_level_mae,3,0.08356570475134423,0.025497373976219657
supplementary,localsk_hc_global_group2_resnet18_pretrained,overall_dice,3,0.7211228423943481,0.07275123819892271
supplementary,localsk_hc_global_group2_resnet18_pretrained,overall_iou,3,0.6234572596363394,0.07753107013498747
supplementary,localsk_hc_global_group2_resnet18_pretrained,small_dice,3,0.4905552412739953,0.04650200591130425
supplementary,localsk_hc_global_group2_resnet18_pretrained,boundary_f1,3,0.27859166290511994,0.013375870704563775
supplementary,localsk_hc_global_group2_resnet18_pretrained,level_mae,3,0.10874855003349237,0.04406593066796726
supplementary,localsk_hc_global_group2_resnet18_pretrained,condition_clear_dice,3,0.76106411720548,0.08930621744493573
supplementary,localsk_hc_global_group2_resnet18_pretrained,condition_blur_dice,3,0.6821187867536764,0.08041333398300317
supplementary,localsk_hc_global_group2_resnet18_pretrained,condition_small_dice,3,0.4905552412739953,0.04650200591130425
supplementary,localsk_hc_global_group2_resnet18_pretrained,condition_blur_level_mae,3,0.11160811927678797,0.054539076212400776
supplementary,localsk_hc_global_insk_conv_resnet18_pretrained,overall_dice,3,0.7465511155294077,0.031423162590876415
supplementary,localsk_hc_global_insk_conv_resnet18_pretrained,overall_iou,3,0.6336438623245118,0.03104425540293267
supplementary,localsk_hc_global_insk_conv_resnet18_pretrained,small_dice,3,0.5253229962397432,0.043513411906357116
supplementary,localsk_hc_global_insk_conv_resnet18_pretrained,boundary_f1,3,0.2609952690309716,0.01832770735522176
supplementary,localsk_hc_global_insk_conv_resnet18_pretrained,level_mae,3,0.1088906485905748,0.017641143211226226
supplementary,localsk_hc_global_insk_conv_resnet18_pretrained,condition_clear_dice,3,0.7751878963697546,0.0373456307808103
supplementary,localsk_hc_global_insk_conv_resnet18_pretrained,condition_blur_dice,3,0.7441366475234313,0.06621118040481301
supplementary,localsk_hc_global_insk_conv_resnet18_pretrained,condition_small_dice,3,0.5253229962397432,0.043513411906357116
supplementary,localsk_hc_global_insk_conv_resnet18_pretrained,condition_blur_level_mae,3,0.0761406599762662,0.024917521117534244
supplementary,localsk_hc_global_lowrank85_resnet18_pretrained,overall_dice,3,0.7406117678969657,0.015730537441890517
supplementary,localsk_hc_global_lowrank85_resnet18_pretrained,overall_iou,3,0.6210653513697069,0.017749547073926283
supplementary,localsk_hc_global_lowrank85_resnet18_pretrained,small_dice,3,0.5998822889615805,0.15383093108281873
supplementary,localsk_hc_global_lowrank85_resnet18_pretrained,boundary_f1,3,0.2578208704332408,0.006599622461416363
supplementary,localsk_hc_global_lowrank85_resnet18_pretrained,level_mae,3,0.12361654564313553,0.009241914421928198
supplementary,localsk_hc_global_lowrank85_resnet18_pretrained,condition_clear_dice,3,0.7733222321921016,0.026168469970876736
supplementary,localsk_hc_global_lowrank85_resnet18_pretrained,condition_blur_dice,3,0.6866919116621746,0.09514760022289502
supplementary,localsk_hc_global_lowrank85_resnet18_pretrained,condition_small_dice,3,0.5998822889615805,0.15383093108281873
supplementary,localsk_hc_global_lowrank85_resnet18_pretrained,condition_blur_level_mae,3,0.11803009590442912,0.032466765371475734
supplementary,matched_a0_standard_aspp_resnet18_pretrained,overall_dice,3,0.7291406642787964,0.022478810200751945
supplementary,matched_a0_standard_aspp_resnet18_pretrained,overall_iou,3,0.6220832853153945,0.020761699385018026
supplementary,matched_a0_standard_aspp_resnet18_pretrained,small_dice,3,0.5984271665652825,0.05573327314503667
supplementary,matched_a0_standard_aspp_resnet18_pretrained,boundary_f1,3,0.2616803190961311,0.04501453936320773
supplementary,matched_a0_standard_aspp_resnet18_pretrained,level_mae,3,0.11068309184590676,0.03056111500385685
supplementary,matched_a0_standard_aspp_resnet18_pretrained,condition_clear_dice,3,0.7444766377903463,0.0456585004619497
supplementary,matched_a0_standard_aspp_resnet18_pretrained,condition_blur_dice,3,0.7334396615911672,0.08854583768184845
supplementary,matched_a0_standard_aspp_resnet18_pretrained,condition_small_dice,3,0.5984271665652825,0.05573327314503667
supplementary,matched_a0_standard_aspp_resnet18_pretrained,condition_blur_level_mae,3,0.0918265895004742,0.03299090286012995
supplementary,mean_hc_global_conv_resnet18_pretrained,overall_dice,3,0.7535184731904543,0.04987133938929852
supplementary,mean_hc_global_conv_resnet18_pretrained,overall_iou,3,0.6397649920516509,0.05225580731137178
supplementary,mean_hc_global_conv_resnet18_pretrained,small_dice,3,0.5313938681602142,0.03317906211244169
supplementary,mean_hc_global_conv_resnet18_pretrained,boundary_f1,3,0.2807929502907101,0.017450755057814477
supplementary,mean_hc_global_conv_resnet18_pretrained,level_mae,3,0.1014665841126347,0.008590630408416716
supplementary,mean_hc_global_conv_resnet18_pretrained,condition_clear_dice,3,0.7805277567289509,0.06789843931667533
supplementary,mean_hc_global_conv_resnet18_pretrained,condition_blur_dice,3,0.7573957885426639,0.02215017208934384
supplementary,mean_hc_global_conv_resnet18_pretrained,condition_small_dice,3,0.5313938681602142,0.03317906211244169
supplementary,mean_hc_global_conv_resnet18_pretrained,condition_blur_level_mae,3,0.06764137013177716,0.016698820591932704
supplementary,phm_project_n1,overall_dice,3,0.7333346669218866,0.04174810159353225
supplementary,phm_project_n1,overall_iou,3,0.6271440946060334,0.04134379497328134
supplementary,phm_project_n1,small_dice,3,0.48693565421226087,0.14399449267654243
supplementary,phm_project_n1,boundary_f1,3,0.2564483877565392,0.008160867358950465
supplementary,phm_project_n1,level_mae,3,0.12148636476459783,0.009258905698022677
supplementary,phm_project_n1,condition_clear_dice,3,0.7622425867156248,0.06305176266842742
supplementary,phm_project_n1,condition_blur_dice,3,0.7414415468829991,0.0471253264676214
supplementary,phm_project_n1,condition_small_dice,3,0.48693565421226087,0.14399449267654243
supplementary,phm_project_n1,condition_blur_level_mae,3,0.08725165074167988,0.010196807898808348
supplementary,phm_project_n2,overall_dice,3,0.7358704213433985,0.045144359336641564
supplementary,phm_project_n2,overall_iou,3,0.6123915408650763,0.05458617031577171
supplementary,phm_project_n2,small_dice,3,0.564035727688682,0.0560342390507094
supplementary,phm_project_n2,boundary_f1,3,0.2682410033234044,0.007971435698231992
supplementary,phm_project_n2,level_mae,3,0.13153235596356064,0.01775759052467422
supplementary,phm_project_n2,condition_clear_dice,3,0.7711871665840795,0.05477521835079179
supplementary,phm_project_n2,condition_blur_dice,3,0.6867437302146283,0.05699859266339044
supplementary,phm_project_n2,condition_small_dice,3,0.564035727688682,0.0560342390507094
supplementary,phm_project_n2,condition_blur_level_mae,3,0.08401407955038113,0.005467565996571324
supplementary,phm_project_n4,overall_dice,3,0.7207081192271544,0.08903147611476296
supplementary,phm_project_n4,overall_iou,3,0.6091351646451808,0.09544853814797376
supplementary,phm_project_n4,small_dice,3,0.6113873637378453,0.0571432952425074
supplementary,phm_project_n4,boundary_f1,3,0.27315749213194435,0.029346422080925066
supplementary,phm_project_n4,level_mae,3,0.1121681918601056,0.044362817948717714
supplementary,phm_project_n4,condition_clear_dice,3,0.7634661665413154,0.09616998453501698
supplementary,phm_project_n4,condition_blur_dice,3,0.6161224132778299,0.11587570862025308
supplementary,phm_project_n4,condition_small_dice,3,0.6113873637378453,0.0571432952425074
supplementary,phm_project_n4,condition_blur_level_mae,3,0.14347426964407362,0.06450389264356148
supplementary,sum_hc_global_conv_resnet18_pretrained,overall_dice,3,0.7545249396252114,0.029286402560550186
supplementary,sum_hc_global_conv_resnet18_pretrained,overall_iou,3,0.6331799155737837,0.035322291152323076
supplementary,sum_hc_global_conv_resnet18_pretrained,small_dice,3,0.585591871804578,0.11105937825588891
supplementary,sum_hc_global_conv_resnet18_pretrained,boundary_f1,3,0.24888107119383004,0.0005031435053712514
supplementary,sum_hc_global_conv_resnet18_pretrained,level_mae,3,0.10839113824442813,0.009405586131137412
supplementary,sum_hc_global_conv_resnet18_pretrained,condition_clear_dice,3,0.7883884541700786,0.041329017980603094
supplementary,sum_hc_global_conv_resnet18_pretrained,condition_blur_dice,3,0.7093247251619915,0.05782076325691004
supplementary,sum_hc_global_conv_resnet18_pretrained,condition_small_dice,3,0.585591871804578,0.11105937825588891
supplementary,sum_hc_global_conv_resnet18_pretrained,condition_blur_level_mae,3,0.0908364058595966,0.034075741255515456
