epoch,train_loss,val_selection_score,val_overall_dice,val_overall_iou,val_clear_dice,val_blur_dice,val_small_dice,val_boundary_f1,val_level_mae,best_score,best_epoch,lr,time_sec
1,0.12970870857870123,0.6837088742957595,0.8234207814418999,0.7289473849575614,0.8477481447831521,0.8490230226277489,0.5797810380340077,0.33793461187114593,0.1020927722653761,0.6837088742957595,1,0.0002997040092642407,17.71929383277893
2,0.05363766902259418,0.6977269702065866,0.8270657463828961,0.7307891133841206,0.837230172735589,0.8806223677744247,0.6220881718016629,0.32618913621765944,0.09871612266247408,0.6977269702065866,2,0.0002988172051971717,16.879936695098877
3,0.042893414038398955,0.7050526424274105,0.8379589882939449,0.749770692302842,0.8548940822361022,0.8876703250543723,0.5915839562293672,0.39746357905435137,0.10281099258052627,0.7050526424274105,3,0.0002973430876093033,16.474777698516846
4,0.03805667579251922,0.7131019818612649,0.8398858191554222,0.7469283496093552,0.8524983853548164,0.885779180529731,0.6350411205773596,0.38274525084673827,0.09981107992103126,0.7131019818612649,4,0.00029528747416929463,16.655781507492065
5,0.05097027606483328,0.7026115951145165,0.8253567851011422,0.7249257078320628,0.8303253823428502,0.8942090636673758,0.6224288314111334,0.3519592930733868,0.07759705151452699,0.7131019818612649,4,0.00029265847744427303,16.841658353805542
6,0.04548989802287431,0.6773362572874031,0.8066822698144565,0.7101767945904797,0.8136731528797402,0.8940041162965499,0.5441608475728494,0.3717874502054103,0.12232819198836901,0.7131019818612649,4,0.0002894664728832377,16.835779666900635
7,0.0357542863563482,0.6879439472636751,0.8105340359545145,0.7143205190062807,0.8121773574219856,0.8963904334887636,0.5915482294302419,0.35342499244029085,0.10867561733948236,0.7131019818612649,4,0.000285724057869903,17.085657119750977
8,0.03342425056087431,0.688675432669469,0.815245273424603,0.7195017832957843,0.8202963764682514,0.8940833896727117,0.5876600745007499,0.3485965872702633,0.10902772241831027,0.7131019818612649,4,0.00028144600200657956,17.178627014160156
9,0.031080667844580856,0.6863167532578227,0.80929848830282,0.7118478236393577,0.8114734053305135,0.8935319844319574,0.5902425443032646,0.35420334094937206,0.11662263027942003,0.7131019818612649,4,0.0002766491888253023,17.049705028533936
10,0.02953741325630128,0.6910979321762114,0.8199496341089026,0.7283758261595177,0.8294678277809692,0.8930249061231332,0.572817493268812,0.3823526638785152,0.11258771676647591,0.7131019818612649,4,0.00027135254915624217,16.939424514770508
11,0.028704181586096927,0.6887753993020284,0.8152443707775138,0.7214613396030496,0.820171653888226,0.8981096889289579,0.5788904126957451,0.3621109111370601,0.11104826157854637,0.7131019818612649,4,0.0002655769864163684,16.43300771713257
12,0.0273772348302582,0.6812087822682393,0.8145925861247449,0.720593414384365,0.8273451109091611,0.8847674530126866,0.5502453137481423,0.3679208279130235,0.1128754857393376,0.7131019818612649,4,0.0002593452941132117,16.70970368385315
13,0.02709313726072112,0.6999886031321536,0.8223538193012946,0.727920771598878,0.827764815091188,0.8897705097939361,0.6195721144279537,0.3650045320576905,0.10137518157887741,0.7131019818612649,4,0.0002526820658893033,16.586857795715332
14,0.026245017519759384,0.6876323184305506,0.8106553557031493,0.7100494330995908,0.8155620582243049,0.8805272067358142,0.6057359399106784,0.34696003965020306,0.11235264757104284,0.7131019818612649,4,0.0002456135984623034,17.343044996261597
15,0.02417994492106425,0.7045734992685022,0.8338966491318087,0.7457652696298291,0.8463680543683395,0.8930935450772547,0.598081016012059,0.38715865518837067,0.0934185156047869,0.7131019818612649,4,0.00023816778784387096,17.114665269851685
16,0.023160269126971007,0.6760215843383566,0.806386436476121,0.7060718504970034,0.8175004600687235,0.8722782388718632,0.5646086616083826,0.3522156820726787,0.12313340518855562,0.7131019818612649,4,0.00023037401924684944,16.910645723342896
