epoch,train_loss,val_selection_score,val_overall_dice,val_overall_iou,val_clear_dice,val_blur_dice,val_small_dice,val_boundary_f1,val_level_mae,best_score,best_epoch,lr,time_sec
1,0.12697033830739896,0.642061353366073,0.8008329159927012,0.7007211494356884,0.8304804280048019,0.8557417323480812,0.4468377126762552,0.30775842109328594,0.13719498254138868,0.642061353366073,1,0.0002997040092642407,21.20789623260498
2,0.07240660745611589,0.6491706491697605,0.8101410792241655,0.7139774921407912,0.8443183226267352,0.8595898305731398,0.43540137533518725,0.34000342265472216,0.1183796472160575,0.6491706491697605,2,0.0002988172051971717,20.15900468826294
3,0.050309873312607875,0.7334953444490571,0.8703760095016423,0.7900354250375063,0.8910565372204127,0.9071749651299347,0.6270649459819905,0.3951636166716736,0.053965118696392686,0.7334953444490571,3,0.0002973430876093033,20.28362250328064
4,0.041239322731044234,0.7126078515515715,0.846559560644294,0.760300495256288,0.861055289908172,0.904892194916988,0.5976796147543505,0.3845110530298775,0.08785572523963216,0.7334953444490571,3,0.00029528747416929463,20.230958461761475
5,0.037314268867469,0.7162986261172242,0.844880401925743,0.7577571899063171,0.8549874308541182,0.9099619060612538,0.6125871570242608,0.3914189851111214,0.08590381341599504,0.7334953444490571,3,0.00029265847744427303,20.50863242149353
6,0.03475275743454175,0.6827732954177901,0.8165885478511363,0.7202849946294003,0.8270697696950821,0.8927672164609018,0.5547803896247726,0.3532248137982255,0.11429240563380914,0.7334953444490571,3,0.0002894664728832377,20.36892819404602
7,0.05596051957678919,0.6991914206254132,0.8218861585118223,0.7287398259562272,0.821620718592215,0.9051868166629745,0.6233334208798156,0.31115973928484003,0.06624678468782359,0.7334953444490571,3,0.000285724057869903,19.901179313659668
8,0.04220466108713623,0.6614901740137376,0.7725219406093595,0.6699585991621706,0.7585602841216638,0.8957855058032775,0.5802301951615773,0.30548700424446673,0.11466723236392058,0.7334953444490571,3,0.00028144600200657956,20.256810665130615
9,0.043465245164645255,0.6666164713275636,0.7823613253575193,0.6779736730313086,0.776119535454802,0.890885541097071,0.5677971600715208,0.3265465190264924,0.08822212865420327,0.7334953444490571,3,0.0002766491888253023,20.20630168914795
10,0.03583401154064758,0.6816131231628297,0.807915028854715,0.7061778979842439,0.8100300671550654,0.8991616177846706,0.5724236948873856,0.3335169968430138,0.10110145188014,0.7334953444490571,3,0.00027135254915624217,19.27443218231201
