epoch,train_loss,val_selection_score,val_overall_dice,val_overall_iou,val_clear_dice,val_blur_dice,val_small_dice,val_boundary_f1,val_level_mae,best_score,best_epoch,lr,time_sec
1,0.13901744137813404,0.6702610194305042,0.8373161162350897,0.7497981433234,0.8774755304813735,0.8650618518950614,0.47006891269259005,0.3184949863572453,0.08039195291084757,0.6702610194305042,1,0.0002997040092642407,23.718372106552124
2,0.057484420451241504,0.6642092774576256,0.8220821668067254,0.7277682651851303,0.8580183253101006,0.8504835542033522,0.48485275204885275,0.3408840652000449,0.10926592012030163,0.6702610194305042,1,0.0002988172051971717,22.419493436813354
3,0.0454615626406275,0.7184842338916614,0.8503439302006763,0.7599718519979157,0.8659784941862124,0.8939248136774012,0.628457287568624,0.3751174188361278,0.07959305315248984,0.7184842338916614,3,0.0002973430876093033,22.37498688697815
4,0.05897064838000291,0.7109707568107488,0.8371920306269809,0.7498244683223277,0.8450735108598428,0.9078986657262005,0.6080072051274484,0.38180018720098097,0.07183036214519174,0.7184842338916614,3,0.00029528747416929463,22.194080591201782
5,0.04216862031184007,0.7081383766272167,0.8420857961385458,0.7531148666091306,0.8599602438881732,0.8897435240485959,0.5936268791171405,0.38756742717903797,0.07696337181355035,0.7184842338916614,3,0.00029265847744427303,22.28660249710083
6,0.0412293479093172,0.6926804388523984,0.8125143530274986,0.7093767834368541,0.8163739168081089,0.8808631041386435,0.61909580836425,0.35521507839112154,0.10093745588219301,0.7184842338916614,3,0.0002894664728832377,22.394890308380127
7,0.039159615436497465,0.6942288583056694,0.8409267493821521,0.752270509382951,0.8643988590813422,0.9041925931117234,0.5130139345059088,0.40241986793589285,0.09416358093872525,0.7184842338916614,3,0.000285724057869903,22.39192271232605
8,0.04552899549621115,0.7074058332651875,0.8353049946590767,0.7440645337325799,0.8469011043311413,0.8939856186953289,0.6072807459141338,0.3925470166292691,0.10110715428807829,0.7184842338916614,3,0.00028144600200657956,22.308259963989258
9,0.040530889447557804,0.6824233858768012,0.821916171857189,0.7203465206716032,0.8388654362737844,0.8778282842124885,0.5605073305517556,0.32484188189090385,0.09589193966216313,0.7184842338916614,3,0.0002766491888253023,22.24240016937256
10,0.03348365814817699,0.6966331407885066,0.8231648744194097,0.7249633798346108,0.8275122242167253,0.9056776748222006,0.5919983305216636,0.3586390909279782,0.10129045683317577,0.7184842338916614,3,0.00027135254915624217,22.22466254234314
11,0.03144366301284642,0.6985146258558315,0.8365047755647732,0.7427320468844882,0.8517029543832996,0.8981345805761897,0.5744318330801667,0.35431392842848586,0.0955141694373087,0.7184842338916614,3,0.0002655769864163684,22.59295654296875
