epoch,train_loss,val_selection_score,val_overall_dice,val_overall_iou,val_clear_dice,val_blur_dice,val_small_dice,val_boundary_f1,val_level_mae,best_score,best_epoch,lr,time_sec
1,0.13127733774820688,0.6732715442201526,0.8123008554370567,0.7091325486105617,0.8220625814884319,0.8919528246610574,0.5475139420319504,0.2883774137166829,0.10024673951185552,0.6732715442201526,1,0.0002997040092642407,24.054539442062378
2,0.05814096280973963,0.5842533718213041,0.6630187365849177,0.5465750803238631,0.6073489932577408,0.8863262045614138,0.5419188378300102,0.19186468194626363,0.1555032583199048,0.6732715442201526,1,0.0002988172051971717,22.788896322250366
3,0.05642160167755358,0.7221124775337904,0.85753001646644,0.7707824733896128,0.8734958950658585,0.9057851527616881,0.6219118188266758,0.3582045210187379,0.054462389617836,0.7221124775337904,3,0.0002973430876093033,22.98693323135376
4,0.056840624147539355,0.7183062987439373,0.8628442558500324,0.7835019980663197,0.8882790520463447,0.8981010887388707,0.5876767384637519,0.3776116363061486,0.06255007630549624,0.7221124775337904,3,0.00029528747416929463,22.930396556854248
5,0.04821871786998124,0.6868930037866341,0.8246155977064196,0.7305781616496774,0.8418872005364729,0.8848038701012946,0.5505007281753959,0.36880486548008806,0.10232015529715766,0.7221124775337904,3,0.00029265847744427303,22.919305086135864
6,0.039292344012223056,0.6822110562259678,0.8310241269096931,0.7403345567624992,0.855224329145005,0.8938266142940496,0.49877958870539124,0.37808634669244473,0.09879103566617689,0.7221124775337904,3,0.0002894664728832377,23.101730823516846
7,0.03577726991126762,0.6777722849628729,0.8207180418551905,0.7247193630662352,0.8378320874441414,0.8962045782127249,0.5109527799215662,0.35832703555847834,0.10081364473584217,0.7221124775337904,3,0.000285724057869903,22.932819604873657
8,0.03396184375762732,0.6745024063032253,0.8204809320905364,0.7268239613388325,0.8388463644449835,0.8959977325254849,0.5012805852805372,0.3532392169362395,0.11435516741194135,0.7221124775337904,3,0.00028144600200657956,23.34300208091736
9,0.03261869672023876,0.6765262169751596,0.8062962966704357,0.7034344525614805,0.8100970045146045,0.9054972420539293,0.5390442805797243,0.3533606467935173,0.11182876926888335,0.7221124775337904,3,0.0002766491888253023,23.34844160079956
10,0.031085590582068372,0.6874180961323381,0.8256783485755529,0.7345677475607975,0.8418071704955066,0.9034053576802868,0.5178902885889461,0.4043100648452613,0.09881892019593512,0.7221124775337904,3,0.00027135254915624217,23.548858404159546
11,0.029615259323697473,0.6784260956292536,0.81074233921544,0.7098225338702774,0.8202870641996222,0.8973819312827138,0.5307568602829366,0.375701496747952,0.10547770804512145,0.7221124775337904,3,0.0002655769864163684,23.61385941505432
12,0.02843996456042192,0.6832326253090218,0.8239243995645114,0.7294371504314052,0.8407023217394083,0.900253436063078,0.5146455976483642,0.38272006457744645,0.09937431740226145,0.7221124775337904,3,0.0002593452941132117,23.415775537490845
13,0.027627768929567486,0.6666719243681637,0.809375161691732,0.7090687604393131,0.8238065090509743,0.8923399174703229,0.5016773360556056,0.3342557703787377,0.11255376694491236,0.7221124775337904,3,0.0002526820658893033,23.2311589717865
14,0.027499998027283555,0.6519946273249547,0.7969740565784428,0.6927821916741349,0.8156288184342517,0.8671952411276959,0.4883578013719674,0.31857255483152835,0.12201005781934915,0.7221124775337904,3,0.0002456135984623034,22.85639762878418
15,0.05538093004674239,0.6737693196859313,0.833621763948853,0.7525018705449755,0.8799040585617118,0.8375491318447937,0.477906859317977,0.4075161709971744,0.1001384205705398,0.7221124775337904,3,0.00023816778784387096,22.723206996917725
