epoch,train_loss,val_selection_score,val_overall_dice,val_overall_iou,val_clear_dice,val_blur_dice,val_small_dice,val_boundary_f1,val_level_mae,best_score,best_epoch,lr,time_sec
1,0.13079457073261513,0.6479268122107319,0.7182565762803677,0.6117311829278672,0.6695100661306093,0.8824081048331845,0.6877730834773343,0.2421802334725975,0.10670663394312328,0.6479268122107319,1,0.0002997040092642407,22.33739471435547
2,0.06003854469191737,0.6327848351099443,0.7494133144804431,0.6501937118570759,0.7492450884905026,0.835927148943546,0.542397848179195,0.2959662154605729,0.10774171307410785,0.6479268122107319,1,0.0002988172051971717,20.343322038650513
3,0.04848908638834746,0.7070347417145992,0.8338330812955524,0.7419563153594569,0.8387348577365447,0.9141767486689331,0.6037405916529538,0.3709814469193034,0.09709148512075906,0.7070347417145992,3,0.0002973430876093033,21.781761407852173
4,0.042331209205065036,0.6389555649961758,0.7994770558124932,0.7133816963918663,0.8240839110572078,0.9018486009754622,0.3689313078485917,0.35330928032811515,0.10354885317839835,0.7070347417145992,3,0.00029528747416929463,20.00612711906433
5,0.04039291463766364,0.7095298990790605,0.8302658355884416,0.7344418981350233,0.832558654886761,0.9034104232973551,0.637023328205482,0.3632760006879574,0.0969369583931143,0.7095298990790605,5,0.00029265847744427303,20.151055574417114
6,0.03603391164349139,0.6845435809288147,0.7920476343464422,0.6867084308423395,0.7792710369572678,0.9050395411461505,0.6156179577031876,0.3522370563939549,0.11166929192723843,0.7095298990790605,5,0.0002894664728832377,21.586928367614746
7,0.03388237069889851,0.705861918143561,0.8225635406823721,0.7245144178521075,0.8183289397249159,0.9138890538518345,0.6343869124375979,0.3580007206466985,0.10361329655179287,0.7095298990790605,5,0.000285724057869903,21.649735689163208
8,0.03145775401426109,0.6906125745240608,0.805227711776191,0.6998565573217204,0.796146208778709,0.9106956408569986,0.6192665345628146,0.3301845651694803,0.10954781844190944,0.7095298990790605,5,0.00028144600200657956,21.228336334228516
9,0.03136360432420458,0.6860157801930543,0.8021620994848339,0.7041770502488773,0.7972004573021514,0.9045947616145869,0.5926853840206832,0.3570393259994625,0.09990986391267138,0.7095298990790605,5,0.0002766491888253023,21.445454120635986
10,0.029049895171608244,0.6984243997070491,0.8094671752183589,0.7101623327651246,0.8012090779052876,0.9102232601556393,0.6286890321189946,0.3564194754513747,0.08444861788825392,0.7095298990790605,5,0.00027135254915624217,21.51645827293396
11,0.027561926156386266,0.6958054411819629,0.817672937497047,0.7235162438531874,0.818225528185551,0.9087902860641179,0.5941821606104745,0.3702446008656772,0.10420925369681681,0.7095298990790605,5,0.0002655769864163684,21.397961854934692
12,0.026130608954703767,0.6964402365872002,0.8144169951502799,0.7174125447223936,0.8113739411142253,0.9106925206629661,0.6054091342968887,0.3644368966329903,0.09795311220122774,0.7095298990790605,5,0.0002593452941132117,21.567806005477905
13,0.05166085719257489,0.6956320437897511,0.8527951944190094,0.7745260581158443,0.8987100432084125,0.8466181653556203,0.5241547289990419,0.40650044949650277,0.06478537945110718,0.7095298990790605,5,0.0002526820658893033,21.546930074691772
14,0.042186055708845316,0.6950174251836815,0.8365174963279314,0.7449096834751777,0.8559420056994959,0.894650957551827,0.5512424640090713,0.35877079752995555,0.07129078335736147,0.7095298990790605,5,0.0002456135984623034,21.6634578704834
15,0.03189158423411099,0.7073061222537048,0.8453368578684878,0.7579000177109008,0.8603799606803042,0.9099965311033075,0.5771299864518127,0.36185912490405003,0.06947392253605551,0.7095298990790605,5,0.00023816778784387096,20.146841764450073
16,0.028497780527179665,0.6695984566659896,0.7829519267835143,0.6792066067598214,0.7705422331248354,0.9094755867827106,0.5712008237874181,0.31924376579852304,0.08926772161020291,0.7095298990790605,5,0.00023037401924684944,21.486169815063477
17,0.026496031668803002,0.6866100338859301,0.8215549277266797,0.731147971343204,0.8298862550777824,0.9064825610370397,0.5547688429083043,0.3276861351012448,0.07724392449502293,0.7095298990790605,5,0.00022226305111525726,21.427144765853882
18,0.024872887697888584,0.6957398529908249,0.832424387130564,0.7362852569491164,0.8429220643317882,0.9086402866187472,0.5704034885609642,0.33345471023866524,0.08389104606656989,0.7095298990790605,5,0.00021386689373476087,19.98362708091736
19,0.023469313914248335,0.6973730691433543,0.8279394490246232,0.7326578218504436,0.8345155438607912,0.9080965823633463,0.5857696407311819,0.3414805892539329,0.08226259590177769,0.7095298990790605,5,0.00020521868290270169,21.304898977279663
20,0.02254747433866981,0.6816036263721156,0.824028649594917,0.7310136223418673,0.8386570093249557,0.9048645634376111,0.5199818694007342,0.3373736917126743,0.07748251984797468,0.7095298990790605,5,0.00019635254915624208,21.312305212020874
21,0.021862178437333905,0.7005326870922538,0.8421953474851421,0.7535135720593309,0.8594729463580215,0.9061254913244787,0.5590274096377885,0.3529460785315876,0.07167800259411139,0.7095298990790605,5,0.00018730348307472816,20.68296718597412
22,0.020892043523360628,0.6827615596871084,0.8133682713400229,0.7141428407583004,0.8178438014654936,0.9048952335550821,0.5595419887724694,0.33117105468885033,0.09364728479088337,0.7095298990790605,5,0.00017810719718785867,20.085360288619995
23,0.0201115670552289,0.6846545222910891,0.8133142281302765,0.7156170305487156,0.817457091349733,0.9029919945187432,0.5664285545902568,0.34042963316713415,0.09560130373250972,0.7095298990790605,5,0.00016879998503464564,21.353158473968506
24,0.0192837374226453,0.682012573189281,0.8178031672629738,0.7215079976224567,0.8280414376653865,0.8922595900012986,0.5619587932156234,0.312675066810538,0.08774428533158363,0.7095298990790605,5,0.000159418577929397,21.5063579082489
25,0.018727608654609124,0.6775100691728771,0.8081873392607576,0.7114475839289895,0.8142966901140102,0.8950096224798382,0.5534637362386386,0.33113488868757357,0.09282559891924748,0.7095298990790605,5,0.00015,21.608479261398315
26,0.01789551599515855,0.6837627797628878,0.8258579083182372,0.7318743293992932,0.842839008708229,0.8925797739214292,0.5381874067261706,0.3373216733833993,0.08845578336038615,0.7095298990790605,5,0.000140581422070603,20.72878861427307
